Date,Close,High,Low,Open,Volume
2020-01-06,299.8,299.96,292.75,293.79,29644640
2020-01-03,297.43,300.58,296.5,297.15,36633880
2020-01-02,300.35,300.6,295.19,296.24,33911860
2019-12-31,293.65,293.68,289.52,289.93,25247630
2019-12-30,291.52,292.69,285.22,289.46,36059610
2019-12-27,289.8,293.97,288.12,291.12,36592940
2019-12-26,289.91,289.98,284.7,284.82,23334000
2019-12-24,284.27,284.89,282.9197,284.69,12119710
2019-12-23,284.0,284.25,280.3735,280.53,24677880
2019-12-20,279.44,282.65,278.56,282.23,69032740
2019-12-19,280.02,281.18,278.95,279.5,24626950
2019-12-18,279.74,281.9,279.12,279.8,29024690
2019-12-17,280.41,281.77,278.8,279.57,28575800
2019-12-16,279.86,280.79,276.98,277.0,32081110
2019-12-13,275.15,275.3,270.93,271.46,33432810
2019-12-12,271.46,272.5599,267.321,267.78,34437040
2019-12-11,270.77,271.1,268.5,268.81,19723390
2019-12-10,268.48,270.07,265.86,268.6,22632380
2019-12-09,266.92,270.8,264.91,270.0,32182650
2019-12-06,270.71,271.0,267.3,267.48,26547490
2019-12-05,265.58,265.89,262.73,263.79,18661340
2019-12-04,261.74,263.31,260.68,261.07,16810390
2019-12-03,259.45,259.53,256.29,258.31,29377270
2019-12-02,264.16,268.25,263.45,267.27,23693550
2019-11-29,267.25,268.0,265.9,266.6,11654360
2019-11-27,267.84,267.98,265.31,265.58,16386120
2019-11-26,264.29,267.16,262.5,266.94,26334880
2019-11-25,266.37,266.44,262.52,262.71,21029520
2019-11-22,261.78,263.18,260.84,262.59,16331260
2019-11-21,262.01,264.005,261.18,263.69,30348780
2019-11-20,263.19,266.083,260.4,265.54,26609920
2019-11-19,266.29,268.0,265.3926,267.9,19069600
2019-11-18,267.1,267.43,264.23,265.8,21700900
2019-11-15,265.76,265.78,263.01,263.68,25093670
2019-11-14,262.64,264.88,262.1,263.75,22395560
2019-11-13,264.47,264.78,261.07,261.13,25817590
2019-11-12,261.96,262.79,260.92,261.55,21847230
2019-11-11,262.2,262.47,258.28,258.3,20507460
2019-11-08,260.14,260.44,256.85,258.69,17520500
2019-11-07,259.43,260.35,258.11,258.74,23735080
2019-11-06,257.24,257.49,255.365,256.77,18966120
2019-11-05,257.13,258.19,256.32,257.05,19974430
2019-11-04,257.5,257.845,255.38,257.33,25817950
2019-11-01,255.82,255.93,249.16,249.54,37781330
2019-10-31,248.76,249.17,237.26,247.24,34790520
2019-10-30,243.26,245.3,241.21,244.76,31130520
2019-10-29,243.29,249.75,242.57,248.97,35709870
2019-10-28,249.05,249.25,246.72,247.42,24143240
2019-10-25,246.58,246.73,242.88,243.16,18369300
2019-10-24,243.58,244.8,241.805,244.51,17916260
2019-10-23,243.18,243.24,241.22,242.1,19932550
2019-10-22,239.96,242.2,239.6218,241.16,22684000
2019-10-21,240.51,240.99,237.32,237.52,22367480
2019-10-18,236.41,237.58,234.29,234.59,24377170
2019-10-17,235.28,236.15,233.52,235.09,17272900
2019-10-16,234.37,235.24,233.2,233.37,19286690
2019-10-15,235.32,237.65,234.88,236.39,23040480
2019-10-14,235.87,238.1342,234.6701,234.9,24413480
2019-10-11,236.21,237.64,232.3075,232.95,41990210
2019-10-10,230.09,230.44,227.3,227.93,28962980
2019-10-09,227.03,227.79,225.64,227.03,19029420
2019-10-08,224.4,228.06,224.33,225.82,29282700
2019-10-07,227.06,229.93,225.84,226.27,30889270
2019-10-04,227.01,227.49,223.89,225.64,34755550
2019-10-03,220.82,220.96,215.132,218.43,30352690
2019-10-02,218.96,223.58,217.93,223.06,35767260
2019-10-01,224.59,228.22,224.2,225.07,36187160
2019-09-30,223.97,224.58,220.79,220.9,26318580
2019-09-27,218.82,220.96,217.2814,220.54,25361290
2019-09-26,219.89,220.94,218.83,220.0,19088310
2019-09-25,221.03,221.5,217.1402,218.55,22481010
2019-09-24,217.68,222.49,217.19,221.03,31434370
2019-09-23,218.72,219.84,217.65,218.95,19419650
2019-09-20,217.73,222.56,217.473,221.38,57977090
2019-09-19,220.96,223.76,220.37,222.01,22187880
2019-09-18,222.77,222.85,219.44,221.06,25643090
2019-09-17,220.7,220.82,219.12,219.96,18386470
2019-09-16,219.9,220.13,217.56,217.73,21158140
2019-09-13,218.75,220.79,217.02,220.0,39763300
2019-09-12,223.085,226.42,222.86,224.8,32226670
2019-09-11,223.59,223.71,217.73,218.07,44289650
2019-09-10,216.7,216.78,211.71,213.86,31777930
2019-09-09,214.17,216.44,211.07,214.84,27309400
2019-09-06,213.26,214.42,212.51,214.05,19362290
2019-09-05,213.28,213.97,211.51,212.0,23946880
2019-09-04,209.19,209.48,207.32,208.39,19216820
2019-09-03,205.7,206.98,204.22,206.43,20059570
2019-08-30,208.74,210.45,207.2,210.16,21162560
2019-08-29,209.01,209.32,206.655,208.5,21007650
2019-08-28,205.53,205.72,203.32,204.1,15957630
2019-08-27,204.16,208.55,203.53,207.86,25897340
2019-08-26,206.49,207.19,205.0573,205.86,26066130
2019-08-23,202.64,212.051,201.0,209.43,46882840
2019-08-22,212.46,214.435,210.75,213.19,22267820
2019-08-21,212.64,213.65,211.6032,212.99,21564750
2019-08-20,210.36,213.35,210.32,210.88,26919530
2019-08-19,210.35,212.7307,210.025,210.62,24431920
2019-08-16,206.5,207.16,203.84,204.28,28813620
2019-08-15,201.74,205.14,199.67,203.46,27883360
2019-08-14,202.75,206.44,202.5869,203.16,36547440
2019-08-13,208.97,212.14,200.83,201.02,47539790
2019-08-12,200.48,202.0516,199.15,199.62,22481890
2019-08-09,200.99,202.76,199.29,201.3,24619750
2019-08-08,203.43,203.53,199.39,200.2,27009520
2019-08-07,199.04,199.56,193.82,195.41,33364400
2019-08-06,197.0,198.067,194.04,196.31,35824790
2019-08-05,193.34,198.649,192.58,197.99,52392970
2019-08-02,204.02,206.43,201.63,205.53,40862120
2019-08-01,208.43,218.03,206.7435,213.9,54017920
2019-07-31,213.04,221.37,211.3,216.42,69281360
2019-07-30,208.78,210.16,207.31,208.76,33935720
2019-07-29,209.68,210.64,208.44,208.46,21673390
2019-07-26,207.74,209.73,207.14,207.48,17618870
2019-07-25,207.02,209.24,206.73,208.89,13909560
2019-07-24,208.67,209.15,207.17,207.67,14991570
2019-07-23,208.84,208.91,207.29,208.46,18355210
2019-07-22,207.22,207.23,203.61,203.65,22277930
2019-07-19,202.59,206.5,202.36,205.79,20929310
2019-07-18,205.66,205.88,203.7,204.0,18582160
2019-07-17,203.35,205.0915,203.27,204.05,14107450
2019-07-16,204.5,206.11,203.5,204.59,16866820
2019-07-15,205.21,205.87,204.0,204.09,16947420
2019-07-12,203.3,204.0,202.2,202.45,17595210
2019-07-11,201.75,204.39,201.71,203.31,20191840
2019-07-10,203.23,203.73,201.56,201.85,17897140
2019-07-09,201.24,201.51,198.81,199.2,20578020
2019-07-08,200.02,201.4,198.41,200.81,25338630
2019-07-05,204.23,205.08,202.9,203.35,17265520
2019-07-03,204.41,204.44,202.6901,203.28,11362050
2019-07-02,202.73,203.1323,201.36,201.41,16935220
2019-07-01,201.55,204.49,200.65,203.17,27316740
2019-06-28,197.92,199.495,197.05,198.68,31110640
2019-06-27,199.74,201.57,199.57,200.29,20899720
2019-06-26,199.8,200.99,197.35,197.77,26067510
2019-06-25,195.57,199.26,195.29,198.43,21070330
2019-06-24,198.58,200.16,198.17,198.54,18220420
2019-06-21,198.78,200.85,198.15,198.8,47800590
2019-06-20,199.46,200.61,198.03,200.37,21513990
2019-06-19,197.87,199.88,197.31,199.68,21124240
2019-06-18,198.45,200.29,195.21,196.05,26551000
