Date,Close,High,Low,Open,Volume
02/01/2018,4.983749866,4.987500191,4.862500191,4.894499779,355616000
03/01/2018,5.311749935,5.34250021,5.09375,5.102499962,914704000
04/01/2018,5.339749813,5.451250076,5.317249775,5.394000053,583268000
05/01/2018,5.385000229,5.422749996,5.27699995,5.354750156,580124000
08/01/2018,5.550000191,5.625,5.46449995,5.510000229,881216000
09/01/2018,5.548500061,5.595499992,5.46600008,5.555500031,497000000
10/01/2018,5.592000008,5.595499992,5.400000095,5.454999924,582664000
11/01/2018,5.602000237,5.656750202,5.580249786,5.625,406032000
12/01/2018,5.574500084,5.624750137,5.533500195,5.590000153,359916000
16/01/2018,5.50274992,5.687749863,5.417250156,5.601250172,702348000
17/01/2018,5.618000031,5.627999783,5.422500134,5.517499924,538408000
18/01/2018,5.611000061,5.665999889,5.566999912,5.598499775,408632000
19/01/2018,5.75274992,5.777249813,5.675000191,5.702250004,609380000
22/01/2018,5.84224987,5.843999863,5.702499866,5.760749817,550944000
23/01/2018,5.972750187,5.99574995,5.877500057,5.896249771,475228000
24/01/2018,5.894999981,6.012249947,5.838749886,5.975999832,579972000
25/01/2018,5.908750057,5.993750095,5.893750191,5.949999809,409884000
26/01/2018,6.083250046,6.083499908,5.940000057,5.953000069,516356000
29/01/2018,6.171249866,6.202750206,6.015250206,6.068500042,455116000
30/01/2018,6.06799984,6.16050005,5.960249901,6.027750015,570832000
31/01/2018,6.144999981,6.231750011,6.111249924,6.144249916,478576000
01/02/2018,6.012499809,6.172500134,5.951499939,5.962999821,519224000
02/02/2018,5.837999821,5.949250221,5.779250145,5.925000191,718464000
05/02/2018,5.34250021,5.830749989,5.125,5.675000191,1165204000
06/02/2018,5.639500141,5.642499924,5.099999905,5.110000134,1114800000
07/02/2018,5.71999979,5.874249935,5.667500019,5.739500046,802932000
08/02/2018,5.438000202,5.88049984,5.437749863,5.847000122,1144000000
09/02/2018,5.802000046,5.972249985,5.438000202,5.956250191,1674604000
12/02/2018,5.700749874,5.887000084,5.625750065,5.883999825,1093172000
13/02/2018,5.815750122,5.862500191,5.631249905,5.664000034,625524000
14/02/2018,6.03550005,6.064750195,5.763750076,5.775000095,744988000
15/02/2018,6.162499905,6.209249973,6.038000107,6.119750023,698900000
16/02/2018,6.096000195,6.25,6.086750031,6.135000229,637656000
